CompID	MetaboliteName	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	200916s037	200916s019	200916s030	200916s042	200916s022	200916s018	200916s046	200916s016	200916s055	200916s029	200916s031	200916s025	200916s032	200916s023	200916s044	200916s035	200916s028	200916s020	200916s021	200916s040	200916s049	200916s047	200916s045	200916s033	200916s041	200916s054	200916s036	200916s034	200916s056	200916s048	200916s052	200916s017	200916s043	200916s057	200916s024	200916s053	200916s038	200916s039	200916s050	200916s051	200916s058	200916s059	200916s026	200916s027
128	Cytidine																			1486837.102	5519962.552	5996579.82	3621217.721	4440754.399	6121147.151	3728926.281	3461517.752	1109283.193	9770413.978	6449782.531	5846234.486	7115939.329	1302758.265	6982515.071	2307212.566	4068639.581	2042728.843	6149389.691	6656114.778	6210782.942	3307718.246	3371163.635	7008291.068	3822442.526	5306160.757	1158264.671	11362768.96	8523320.681	12925481.53	3655809.594	2144622.363	1799909.445	1813995.578	3406934.087	1925171.759	9439673.221	11019739.06	9572515.711	11571307.36	11221848.81	11774124.83	9629929.784	8567145.557
129	Pseudouridine																			2450981.872	11366015.35	13231143.7	3928463.292	4269112.937	29322965.11	3127767.205	8068473.644	766160.5687	11286227.52	9690324.681	11531687.93	32847181.4	780483.1207	16003961.56	2863351.209	985156.2214	663142.3722	13986820.73	16099655.95	17371724.94	2954594.691	2382996.537	5272491.301	3241261.403	2998843.961	611374.8897	10013495.88	9362719.934	11561347.41	12942627.22	1077210.164	4205884.903	955554.9646	900412.2737	538165.3792	9756907.095	10406403.93	9579872.038	11195447.62	11004852.86	9825573.604	10014661.64	9917482.628
130	 7-Methylguanine																			1907126.794	9457978.21	9357025.039	40354180.49	264353.5125	36635768.2	64072.77234	37342714.15	222300.9095	10244441.17	8817176.346	10132160.89	32374471.71	49133560.77	37971033.24	934780.8267	39974610.82	331817.466	10060465.48	12111089.61	12611315.58	45940917.97	55741.40163	31551329.68	136183.3556	34645602.64	43091.20051	8982589.199	9121319.379	11303438.96	37529053.01	54111644.6	37404226.25	218844.9223	35793856.65	121251.1485	21525146.78	23297690.97	21756844.32	22509335.23	24366003.31	21824672.27	21392452.72	21269521.46
131	N-acetylvaline/Isovalarylglycine																			237237.8369	1336269.762	1329038.847	578248.5189	180982.7606	6044381.476	0	111244.4911	204877.9703	1347812.596	1358037.003	990005.7723	4811912.66	276869.2054	0	194396.1001	12867264	178413.826	1327844.324	1883869.356	1226007.642	1923348.683	0	608881.1992	0	324057.8219	226948.0505	917523.8304	0	1540380.059	4679566.695	91614.75405	4582084.01	0	4566551.833	69614.22594	2291834.263	1866436.071	1573338.729	1752970.387	0	0	1531166.824	1798961.543
132	N-acetyltyrosine																			235513.3371	1521962.207	1809594.918	4017250.137	3769220.49	3592159.319	3819460.572	3713650.049	4063772.663	2021116.554	1906509.863	1854023.768	7793448.349	3790932.925	14501554.17	6572989.048	10434001.77	4721935.358	1865092.144	2304042.744	2577527.114	5165561.817	5068120.309	4297844.826	4593381.027	3911087.917	4102166.601	2183579.857	2362395.229	2487843.273	3642498.191	4535361.99	5548968.023	5822942.217	4546647.677	4359801.78	5064368.024	4596486.147	5305128.375	4689875.075	3963202.018	4271362.381	4166471.449	4847788.849
133	Kynurenic acid																			0	598172.9247	530004.1801	14711772.27	34414773.23	4496081.177	10724729.11	12743472.84	24091725.17	639794.0378	486932.2487	399742.1949	1815547.016	7840979.288	2393581.67	17154375.68	5612159.92	13902129.47	654417.5289	788640.2087	858952.581	22399030.33	40970131.8	16665869.16	25326712.39	18607367.52	28069848.76	485916.7085	730632.6413	680258.5797	5866141.355	14227681.32	5710546.685	24932848.86	9329594.72	17051853.21	9980818.981	9652584.322	9880142.451	10907886.24	9720851.204	10838945.02	9424737.74	9531954.799
134	Gamma-glutamylphenylalanine																			193972.3969	1316665.335	1588879.463	0	0	99568.62442	0	0	0	1253462.401	1354766.759	1151940.834	2579510.737	0	3060706.428	0	65018.0449	0	1168480.669	1342240.961	1453064.93	0	57130.25336	0	0	0	0	1034237.843	1101449.289	1051191.656	2794805.905	39573.22109	306520.5173	0	0	62498.4871	989619.3635	697631.1135	731325.3557	1060663.088	899487.3886	792162.9148	750979.3649	969167.5809
135	Leucylphenylalanine																			0	64154.63887	43655.86133	0	0	0	0	0	0	312322.7199	346307.347	784336.094	0	0	43775.37827	209225.2894	105542.909	134695.6403	443425.3591	236006.4915	321372.1082	0	0	0	0	0	0	1033519.285	1434710.256	1070219.118	0	114842.1433	0	401369.7979	0	44844.65999	667711.9467	844644.0458	861586.2792	877620.1983	646755.1131	705339.0617	611223.0383	764238.3795
136	 7-Ketodeoxycholate																			112292248	170168566.9	218922592.7	11773130.34	39374737.14	103240788.4	17755443.08	12421705.57	101685547.3	227322512.4	202114634.8	207820757.6	153828671.2	49782068.56	182057454.6	33583713.69	74416490.98	134577656.4	207761711.7	260529157.4	247087051.3	144948448.5	59087658.17	29647154.09	36122397.52	63989755.56	26251018.24	238357676.9	256062334.7	248241739.1	15656401.97	30233916.97	36264134.4	51949257.72	34422123.49	92685197.01	188726589	181925167.7	191966288.5	187327737.1	183231624.8	197831476.7	158704196.6	185434340.7
137	Anthranilic acid																			0	0	104907.0333	1758604.676	691585.9527	1665367.997	1517565.704	398653.0422	505139.929	0	0	175958.4723	1875894.441	2655916.535	2330154.734	928673.4475	493694.8598	1378563	0	0	0	1641801.477	1069926.591	1072333.985	724462.2463	943027.4277	765213.7428	96709.21622	0	0	1033080.301	1461424.729	1233117.108	473389.3303	1226399.012	1014877.316	684830.1913	679105.5066	832582.5782	1015368.927	678042.8545	768007.5206	583070.7977	588761.9856
138	Indole-3 Lactic acid																			642494.7301	1921682.406	1885019.47	338962.0598	418338.3521	1563153.517	271722.044	258265.6513	0	1905898.773	2366428.621	2456540.279	25243412.54	5378159.191	8382162.933	249588.7568	945857.4626	183992.4628	1575910.082	1495546.229	1272660.389	653613.9063	696464.1168	950553.4852	356366.4272	157630.5949	0	2428297.67	2580440.531	2780920.663	9812356.844	1743081.665	447170.527	393408.0735	1500905.236	249341.4221	2587111.401	2134237.03	2266173.285	2589073.131	2173521.539	2758391.762	2790578.308	2927014.196
139	Indole ethanol 																			71432.64483	362503.983	532392.991	2133378.652	3266478.188	1480717.991	2430361.835	1926327.517	2406701.534	157482.5867	174871.9832	219890.5246	1791578.447	2325666.985	1932191.287	2785823.422	2172397.281	2844831.064	352653.4056	307388.7902	238849.9142	5243953.141	6498102.18	4187850.979	5932205.977	4476217.881	6336378.414	60069.65212	88144.13767	255234.1749	1450156.985	1790835.331	1496718.626	3001625.27	2296041.998	3096294.597	2034089.612	1650876.876	2116043.521	1829932.735	1854453.892	2131280.703	1974932.374	2108581.834
140	Indole-3-propionic acid																			0	0	0	36842039.05	29872192.27	24232042.78	24807991.19	63620582.7	60821186.98	0	0	0	260307.8472	20442227.72	3002224.623	22868170.84	21380830.58	21024576.72	0	0	0	18957289.13	21858831.48	21112389.23	28544822.07	30841229.16	41881770.44	0	0	0	996513.1364	6955971.908	30623350.95	36820726.09	20935846.78	24072592.45	8961300.484	8532427.198	9864214.287	10194404.09	9317391.732	10084709.73	8620322.175	9950747.206
141	Trimethylamine																			122021900.6	23517781.41	23484352.23	1778240629	1894982747	937688149.9	1907490017	1736450833	1996823834	434524825.5	22283794.2	168534837.1	772123430.3	1617192008	1572250979	1734033084	1604607877	1553056825	454086761.4	23493990.7	25037024.57	1209514541	1716082471	1525361741	1689838199	1617280529	1664086080	428824102.8	25875596.39	465794091.9	1446723687	1602908716	1604284751	1893292296	1603494505	1663545426	1241547833	1280633804	1250884581	1203777388	1239409104	1280670060	1268348879	1247938511
142	Trimethylamine N-oxide																			41579.48104	169389.8327	0	23761091.86	1714134.469	35548921.4	3311426.411	18622253.88	1963640.064	86015.83021	137527.8217	0	2562193.886	4705259.345	39758450.01	2522712.713	32688935.1	2530633.754	304891.3914	211096.8848	104212.7453	35527009.58	2315311.291	29075937.5	2261768.776	14201828.29	1616212.303	177503.6282	355431.3457	0	18469240.31	2901574.959	40415116.27	2869724.389	46081007.98	1835077.208	10445434.72	9675197.8	8733386.106	9255272.079	9765033.804	8666959.693	9580313.346	10063627.14
143	Opthalamic acid																			118472.7793	3175138.762	2460340.315	0	39149.59475	0	0	37521.01154	0	1957415.4	2140062.236	1489478.81	1118898.872	96148.99912	571734.5913	0	133245.7559	188788.8707	1400816.413	911801.032	1706007.778	56653.62576	162554.4737	264398.7823	0	0	140293.027	354801.8667	999490.9171	760408.1589	897419.1888	0	622368.455	148353.0738	0	82631.34064	881828.6874	854772.7597	860160.6655	996848.5902	600837.9065	718228.6708	621833.7372	1001989.839
144	DL-Methionine sulfoxide																			8254168.656	22091049.61	24480365.39	165635.0176	0	1575058.075	65051.58829	119522.2589	0	19041891.6	18368772.14	21328189.73	67755951.4	0	42106793.66	0	36636031.91	0	20975253.09	25976112.37	24885757.29	123591.9027	53558.91024	375912.7706	48151.39688	160027.9749	48103.30114	20315149.24	22561023.76	24031354.07	101129.8661	0	45123.08415	61390.11573	437385.005	70539.67267	9415559.952	8941315.646	8797276.116	8498653.843	8636235.322	10579520.44	9022380.477	9827840.491
145	Glycerolphosphorylcholine																			165354297.4	170830145.9	187845740.7	607614.4591	0	225569.7312	0	0	0	187447174.4	178432793.4	190656739.4	60447993.44	0	281148.6813	0	820658.0214	0	159311202.7	169271455.8	179055658.9	99541.74208	74347.90983	377467.4501	70477.21222	0	0	185116444.1	193704941.2	186791866.4	639438.0583	0	130757.291	0	0	0	29446712.97	31921975.6	21294929.19	22129555.74	19797694.22	19555667.93	38265323.93	38265323.93
146	 L-DOPA																			724510.6594	7245059.887	0	9661874.306	90075.11356	67772.98435	397927.3586	1104706.261	113068.022	54000.86797	7600221.946	96038.61073	159768.3918	307828.7731	453603.3853	204986.3447	0	0	108093.1548	193193.2151	977795.0822	0	388521.1165	0	359668.7198	129266.8736	34601.73072	176233.3138	224241.413	56589.89894	0	0	4573716.027	440878.3642	201965.9744	168225.7766	901773.7764	0	1129801.534	1685445.465	820732.4588	0	2815826.203	2815826.203
147	GCA																			953809242	1220337084	1349234969	763984.1338	1971882.763	25331567.31	138920.4742	860794.7275	120806.0133	1741363295	1571367550	1539051053	7583492.25	516033.7884	1270043.178	1702458.224	1699837	1241503.083	1495184411	1510217929	1438599145	604803.8116	204225.4871	1030304.653	1148694.122	278707.6714	645566.2977	1588250359	1677112821	1472865860	971421.3245	370159.2758	328881.2411	1872262.738	619970.9287	361442.1753	1141731466	1073281654	1044279754	1159087326	1217104922	1196126625	1029417631	1024443436
148	TCDCA																			164874095.4	492419006.4	556200495.4	0	138812.4204	1318411.524	0	0	0	462829520.5	460799334.6	413632693.1	1502346.224	0	850406.3794	0	0	155635.8043	520996016.5	0	500562046.1	0	0	30115.17619	111031.477	22755.82437	0	462395278.5	428920090.8	411611739.4	0	26733.13752	0	0	22149.4615	0	173132053.9	210981644.7	197122718.2	195756362.6	168207775.3	193772888.2	226412489.5	226412489.5
149	TDCA																			923321114	3185013173	3803397337	1632985.066	402066.8378	2094834.451	0	1783102.058	0	3501540706	3270160025	3680787384	2942402.908	1975916.974	2546297.322	293459.7464	5085679.091	387337.3144	3226618007	3119179978	3536575187	678670.8284	0	3156074.979	356363.1935	1908714.332	0	2648310035	2933399900	2842081731	2833501.583	246466.0496	970010.5603	304379.3448	227820.6441	0	928983931.6	972206932	873698575.2	780849167.6	714568840.2	753912239.1	1089925048	1089925048
150	UDCA																			0	0	0	0	48124108.65	2224453.544	66338479.95	8407570.8	32296597.59	361024.0327	0	0	3198112.245	278448287.2	8560554.652	60606693.9	2861446.449	14233959.07	0	0	394597.3661	5184707.441	47268680.87	0	45410986.34	10640372.26	56944994.36	307367.0707	405284.4707	427002.8392	11837169.81	48604515.13	7238854.536	32765642.29	18660290.17	28830274.05	15909943.22	13722974.06	12472961.13	15043801.72	12574144.44	16388156.15	16462617.8	16462617.8
151	CDCA/DCA																			164573513.9	283533360.2	336004778.9	179554239	393579247.6	173868710.3	502102745	156421750	398820719.6	367835882.6	299317633	350152462	224957199.4	392090457.1	252521809	519718399.2	281833217.3	404311806.7	333910393.4	368081640.7	387640149.6	213551491.3	380479835	214782237	372677136.5	224859777	356437734.3	341757298.9	399150677.2	422375671.7	190122893.3	319803686	152715461.1	391751737	170275647	325260740.9	358524612.8	359007291.6	367975709.2	358816436.9	386278880.1	389436096	389313156.4	389313156.4
152	GDCA																			97870393.76	158597381.5	129546710.2	0	395308.8614	102465.6005	27884.85133	39887.70825	0	488948630.8	347147735.9	232854147.5	296900.5032	28766.92324	0	126861.599	34066.91793	63244.72128	209493545	77108548.72	150748552.6	37937.2171	0	524694.5819	57896.04358	0	103108.9672	206230534.1	272221832.5	122504686.3	23929.33994	527458.6472	0	210800.0111	0	79537.84272	107291819.1	102535200.2	101881365	104425083.9	97600897.91	105679816.1	106874836.3	106874836.3
153	L-carnitine																			1970555.774	6353840.715	10125475.15	3091918.015	0	4148371.561	1282344.031	0	1194583.413	7409838.936	4837187.174	6317329.102	7551074.323	1785435.706	6099022.233	1431109.262	882565.592	0	5495932.493	5049842.752	7984051.421	3926232.872	2361002.52	2780501.313	2584070.247	582780.5693	1349733.037	7628083.904	6791033.849	8462593.212	0	903272.0044	1729537.39	1591361.336	1381637.622	991357.1464	4357855.337	3412140.734	3544794.493	4038599.989	3746854.168	3492645.327	3790716.561	4206818.168
